timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-09-15 00:00:00,0.0,19.5,0.01,0.0
2026-09-15 01:00:00,0.0,18.6,0.02,0.0
2026-09-15 02:00:00,0.0,17.7,0.01,0.0
2026-09-15 03:00:00,0.0,16.7,0.0,0.0
2026-09-15 04:00:00,0.0,15.8,0.0,0.0
2026-09-15 05:00:00,0.0,15.0,0.01,0.0
2026-09-15 06:00:00,0.0,14.3,0.0,1.79
2026-09-15 07:00:00,12.0,14.2,0.02,52.23
2026-09-15 08:00:00,149.0,15.8,0.05,155.34
2026-09-15 09:00:00,351.0,16.8,0.09,187.32
2026-09-15 10:00:00,539.0,19.1,0.2,187.52
2026-09-15 11:00:00,696.0,21.3,0.05,194.16
2026-09-15 12:00:00,807.0,23.1,0.0,191.82
2026-09-15 13:00:00,851.0,24.6,0.0,192.8
2026-09-15 14:00:00,830.0,25.7,0.02,194.79
2026-09-15 15:00:00,746.0,26.4,0.13,193.25
2026-09-15 16:00:00,606.0,26.5,0.38,184.45
2026-09-15 17:00:00,421.0,26.4,0.04,90.26
2026-09-15 18:00:00,220.0,25.6,0.02,9.27
2026-09-15 19:00:00,43.0,23.7,0.03,0.0
2026-09-15 20:00:00,0.0,22.4,0.05,0.0
2026-09-15 21:00:00,0.0,21.7,0.03,0.0
2026-09-15 22:00:00,0.0,21.0,0.0,0.0
2026-09-15 23:00:00,0.0,19.9,0.01,0.0
