timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-09-09 00:00:00,0.0,14.8,0.0,0.0
2026-09-09 01:00:00,0.0,13.8,0.0,0.0
2026-09-09 02:00:00,0.0,12.8,0.0,0.0
2026-09-09 03:00:00,0.0,11.7,0.0,0.0
2026-09-09 04:00:00,0.0,11.0,0.0,0.0
2026-09-09 05:00:00,0.0,10.3,0.0,0.0
2026-09-09 06:00:00,0.0,9.8,0.0,3.94
2026-09-09 07:00:00,18.0,10.0,0.0,74.55
2026-09-09 08:00:00,174.0,12.3,0.0,187.71
2026-09-09 09:00:00,385.0,14.5,0.0,199.91
2026-09-09 10:00:00,584.0,17.1,0.0,199.91
2026-09-09 11:00:00,744.0,19.4,0.0,199.91
2026-09-09 12:00:00,853.0,21.5,0.0,199.91
2026-09-09 13:00:00,900.0,23.2,0.0,199.91
2026-09-09 14:00:00,881.0,24.6,0.0,199.91
2026-09-09 15:00:00,798.0,25.5,0.0,199.91
2026-09-09 16:00:00,658.0,25.6,0.0,198.39
2026-09-09 17:00:00,473.0,25.2,0.0,124.87
2026-09-09 18:00:00,263.0,24.3,0.0,18.6
2026-09-09 19:00:00,67.0,21.4,0.03,0.0
2026-09-09 20:00:00,0.0,19.6,0.02,0.0
2026-09-09 21:00:00,0.0,18.4,0.01,0.0
2026-09-09 22:00:00,0.0,17.9,0.0,0.0
2026-09-09 23:00:00,0.0,16.7,0.0,0.0
