timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-08-31 00:00:00,0.0,16.9,0.02,0.0
2026-08-31 01:00:00,0.0,16.3,0.02,0.0
2026-08-31 02:00:00,0.0,15.7,0.0,0.0
2026-08-31 03:00:00,0.0,16.6,0.13,0.0
2026-08-31 04:00:00,0.0,16.2,0.01,0.0
2026-08-31 05:00:00,0.0,15.5,0.0,0.0
2026-08-31 06:00:00,0.0,14.9,0.0,4.02
2026-08-31 07:00:00,26.0,15.0,0.0,61.78
2026-08-31 08:00:00,186.0,16.8,0.01,154.21
2026-08-31 09:00:00,391.0,18.5,0.01,104.82
2026-08-31 10:00:00,582.0,20.1,0.08,107.83
2026-08-31 11:00:00,707.0,22.0,0.25,117.46
2026-08-31 12:00:00,746.0,23.3,0.71,147.49
2026-08-31 13:00:00,602.0,23.9,0.51,114.42
2026-08-31 14:00:00,612.0,24.6,0.04,116.23
2026-08-31 15:00:00,584.0,24.7,0.2,140.27
2026-08-31 16:00:00,578.0,24.8,0.2,153.7
2026-08-31 17:00:00,315.0,24.4,0.09,104.91
2026-08-31 18:00:00,204.0,24.0,0.16,30.32
2026-08-31 19:00:00,90.0,22.2,0.09,0.0
2026-08-31 20:00:00,2.0,19.9,0.05,0.0
2026-08-31 21:00:00,0.0,19.6,0.03,0.0
2026-08-31 22:00:00,0.0,19.0,0.01,0.0
2026-08-31 23:00:00,0.0,18.2,0.01,0.0
